"mes","dia","dolar_compra","dolar_venta","real_compra","real_venta","peso_compra","peso_venta","yen_compra","yen_venta","euro_compra","euro_venta","libra_compra","libra_venta"
"febrero","28","4.306,75","4.330,42","2.442,72","2.534,34","959,03","995,50","52,09","54,00","5.587,89","5.794,10","6.620,16","6.863,72"
"febrero","29","4.275,49","4.295,05","2.436,39","2.524,42","951,31","986,69","51,44","53,29","5.563,50","5.762,24","6.565,06","6.800,35"
"marzo","01","4.275,49","4.295,05","2.436,39","2.524,42","951,31","986,69","51,44","53,29","5.563,50","5.762,24","6.565,06","6.800,35"
"marzo","02","4.249,68","4.269,46","2.417,14","2.505,70","945,56","980,81","51,31","53,17","5.540,22","5.739,86","6.570,77","6.807,23"
"marzo","03","4.249,68","4.269,46","2.417,14","2.505,70","945,56","980,81","51,31","53,17","5.540,22","5.739,86","6.570,77","6.807,23"
"marzo","04","4.249,68","4.269,46","2.417,14","2.505,70","945,56","980,81","51,31","53,17","5.540,22","5.739,86","6.570,77","6.807,23"
"marzo","05","4.250,48","4.262,02","2.386,67","2.468,59","948,03","981,35","50,54","52,27","5.439,43","5.624,59","6.532,43","6.754,02"
"marzo","06","4.236,84","4.257,74","2.374,47","2.462,12","947,60","983,08","50,41","52,23","5.435,54","5.632,14","6.520,51","6.757,46"
"marzo","07","4.218,51","4.225,55","2.335,72","2.413,36","942,85","974,75","50,44","52,11","5.377,65","5.554,91","6.459,56","6.672,14"
"marzo","08","4.186,48","4.207,24","2.295,32","2.380,06","935,69","970,53","50,28","52,10","5.325,85","5.518,64","6.381,68","6.612,52"
"marzo","09","4.215,14","4.239,52","2.303,23","2.390,21","942,20","978,43","50,16","52,03","5.425,69","5.626,27","6.469,53","6.709,04"
"marzo","10","4.215,14","4.239,52","2.303,23","2.390,21","942,20","978,43","50,16","52,03","5.425,69","5.626,27","6.469,53","6.709,04"
"marzo","11","4.215,14","4.239,52","2.303,23","2.390,21","942,20","978,43","50,16","52,03","5.425,69","5.626,27","6.469,53","6.709,04"
"marzo","12","4.282,43","4.297,64","2.349,66","2.432,31","956,69","991,27","50,76","52,54","5.479,90","5.671,17","6.558,27","6.785,97"
"marzo","13","4.318,98","4.335,22","2.311,40","2.393,83","963,75","998,78","50,92","52,70","5.494,41","5.686,51","6.541,76","6.771,61"
"marzo","14","4.314,55","4.324,33","2.306,10","2.383,73","962,10","995,70","50,56","52,26","5.476,22","5.658,82","6.545,94","6.765,41"
"marzo","15","4.311,15","4.326,66","2.302,64","2.384,36","959,24","993,95","49,97","51,70","5.458,11","5.647,59","6.559,60","6.788,96"
"marzo","16","4.297,21","4.306,39","2.316,23","2.394,97","955,59","988,72","50,00","51,66","5.437,54","5.619,84","6.520,88","6.737,78"
"marzo","17","4.297,21","4.306,39","2.316,23","2.394,97","955,59","988,72","50,00","51,66","5.437,54","5.619,84","6.520,88","6.737,78"
"marzo","18","4.297,21","4.306,39","2.316,23","2.394,97","955,59","988,72","50,00","51,66","5.437,54","5.619,84","6.520,88","6.737,78"
"marzo","19","4.276,89","4.286,28","2.300,30","2.378,62","952,17","985,24","49,76","51,43","5.464,93","5.647,17","6.573,02","6.793,33"
"marzo","20","4.284,58","4.295,38","2.296,79","2.375,76","952,13","985,18","49,77","51,46","5.467,69","5.652,72","6.592,73","6.815,48"
"marzo","21","4.298,69","4.311,40","2.285,66","2.364,48","954,83","988,74","49,98","51,70","5.518,22","5.706,57","6.619,03","6.845,64"
"marzo","22","4.315,40","4.327,34","2.288,77","2.368,03","957,99","991,83","49,90","51,59","5.520,00","5.706,90","6.627,18","6.852,34"
"marzo","23","4.334,47","4.339,81","2.302,92","2.379,02","962,22","994,68","50,83","52,49","5.538,08","5.717,27","6.647,21","6.862,98"
"marzo","24","4.334,47","4.339,81","2.302,92","2.379,02","962,22","994,68","50,83","52,49","5.538,08","5.717,27","6.647,21","6.862,98"
